rank_diff,age_diff,form_diff,surf_rate_diff,target
59.0,-4.800000000000004,0.5,0.5,1
82.0,0.0,0.0,0.0,0
86.0,8.5,0.0,0.0,1
-6.0,2.8000000000000007,-0.33333333333333337,-0.33333333333333337,0
17.0,-1.0,0.0,0.0,0
10.0,-6.300000000000001,-0.6666666666666666,-0.6666666666666666,0
-61.0,-3.3000000000000007,-0.5,-0.5,1
22.0,-5.699999999999999,-0.5,-0.5,0
71.0,-7.699999999999999,-0.6666666666666666,-0.6666666666666666,0
-81.0,6.599999999999998,-1.0,-1.0,0
-73.0,10.899999999999999,-0.33333333333333337,-0.33333333333333337,0
23.0,-7.099999999999998,0.0,0.0,1
15.0,-8.899999999999999,-0.6666666666666666,-0.6666666666666666,0
20.0,-2.8999999999999986,0.30000000000000004,0.30000000000000004,0
-31.0,5.0,-0.6666666666666666,-0.6666666666666666,0
-11.0,5.199999999999999,-0.6666666666666666,-0.6666666666666666,0
162.0,-0.1999999999999993,0.5,0.5,0
-58.0,-2.6000000000000014,-0.25,-0.25,0
-35.0,-2.3000000000000007,-0.16666666666666663,-0.16666666666666663,1
-43.0,-1.0,-0.25,-0.25,0
34.0,3.8000000000000007,-0.5,-0.5,0
78.0,-1.6999999999999993,0.16666666666666663,0.16666666666666663,1
-62.0,0.6999999999999993,-0.5,-0.5,0
-4.0,3.6999999999999993,0.0,0.0,0
-39.0,-0.6999999999999993,0.5,0.5,1
-64.0,-4.800000000000001,0.0,0.0,0
19.0,-7.400000000000002,0.3333333333333333,0.3333333333333333,1
-111.0,-1.0,0.0,0.0,1
-6.0,-3.5,0.0,0.0,1
98.0,6.300000000000001,0.0,0.0,1
-12.0,1.6999999999999993,0.16666666666666669,0.16666666666666669,0
42.0,-2.8000000000000007,-0.5,-0.5,1
65.0,4.800000000000001,0.09999999999999998,0.09999999999999998,1
-14.0,-3.3999999999999986,-0.3333333333333333,-0.3333333333333333,0
16.0,-5.0,-0.26666666666666666,-0.26666666666666666,0
13.0,3.6999999999999993,0.16666666666666663,0.16666666666666663,1
-24.0,2.6999999999999993,0.3333333333333333,0.3333333333333333,0
31.0,-4.300000000000001,0.6666666666666666,0.6666666666666666,1
-78.0,6.599999999999998,-0.5,-0.5,0
8.0,3.6000000000000014,0.0,0.0,1
11.0,8.400000000000002,-0.06666666666666665,-0.06666666666666665,1
41.0,2.8999999999999986,-0.5,-0.5,1
